,ucs_ra,ucs_dec,spectral_type,r_P1,i_P1,z_P1,y_P1,rerr_P1,ierr_P1,zerr_P1,yerr_P1,J_2MASS,Ks_2MASS,Jerr_2MASS,Kserr_2MASS,W1,W2,W1err,W2err,ucs_pmra,ucs_pmdec,r_i_P1,i_z_P1,z_y_P1,J_Ks_2MASS,w1_w2_all,DES_r,DES_i,DES_z,DES_y,VISTA_J,VISTA_Ks,CAT_W1,CAT_W2
17,1.6158,18.9587,17.0,,,20.29,19.23,,,0.04,0.06,17.138,14.836,0.206,0.084,14.111,13.785,0.027,0.039,72.0,-294.0,,,1.0599999999999987,2.3020000000000014,0.3260000000000005,,,19.70529975274449,19.136056224869797,17.064071736559768,14.935919709693293,14.121009797638786,13.816887348825519
18,1.6362,14.1018,10.0,,20.18,18.71,17.72,,0.02,0.01,0.01,15.849,15.06,0.062,0.147,14.31,14.047,0.029,0.042,80.2,15.0,,1.4699999999999989,0.990000000000002,0.7889999999999997,0.2629999999999999,,19.70494229673099,18.16280451670477,17.63095538092681,15.739815613823898,15.094526566132446,14.32024888511849,14.077753586349154
19,1.695,15.2072,14.3,,21.17,19.56,18.44,,0.05,0.03,0.03,16.221,14.811,0.092,0.123,14.151,13.897,0.029,0.04,-53.0,-41.2,,1.610000000000003,1.1199999999999974,1.4100000000000001,0.25399999999999956,,20.622419187332536,18.943152812207106,18.341856948249504,16.126286236572724,14.87236671296079,14.161283040472732,13.927591620281103
20,1.6977,-8.8765,6.0,17.29,14.95,13.91,13.36,0.01,0.01,0.0,0.0,11.967,11.09,0.023,0.023,10.884,10.66,0.022,0.022,-61.0,-321.35,2.34,1.0399999999999991,0.5500000000000007,0.8770000000000007,0.2240000000000002,16.957182218085105,14.69769184702625,13.598548747312252,13.301750076142307,11.859866201266568,11.128330000787669,10.894396891653544,10.690051733387595
21,1.7048,-8.8795,9.0,20.97,18.24,16.74,15.84,0.03,0.01,0.0,0.01,14.143,13.132,0.03,0.039,12.762,12.353,0.023,0.027,-57.3,-321.1,2.7300000000000004,1.5,0.8999999999999986,1.011000000000001,0.4090000000000007,20.409468356961145,17.749401630431322,16.241024927510846,15.757254295857251,14.03898868669063,13.176121594467215,12.771694809371873,12.386381035897555
22,1.7414,-64.6151,10.0,,,,,,,,,13.385,12.169,0.026,0.033,11.741,11.421,0.022,0.021,86.9,-61.7,,,,1.2159999999999993,0.3200000000000003,,,,,13.285765623346844,12.221981868379954,11.751032567874947,11.452779371446816
23,1.7829,-24.9679,7.0,19.38,16.75,15.47,14.72,0.01,0.0,0.01,0.0,13.115,12.06,0.024,0.023,11.84,11.636,0.022,0.022,188.54,-60.43,2.629999999999999,1.2799999999999994,0.75,1.0549999999999997,0.20400000000000063,18.87785652648011,16.3733665166289,15.051392278854308,14.64775248740799,13.012013980411963,12.106023311794829,11.850472792440753,11.665691808791923
24,1.8957,1.2132,27.0,,,,,,,,,,,,,17.289,15.874,0.165,0.187,,,,,,,1.415000000000001,,,,,,,17.294876999775322,15.925485243059827
25,2.2073,-17.6564,26.0,,,,19.56,,,,0.17,17.03,17.0,0.06,,16.875,14.795,0.109,0.069,-171.0,-373.0,,,,0.030000000000001137,2.08,,,,,16.90312929713089,17.001721942231136,16.87835329860066,14.858452735865901
26,2.5004,-20.5201,10.0,20.82,18.44,16.97,15.99,0.03,0.01,0.0,0.01,14.134,12.882,0.024,0.03,12.544,12.281,0.024,0.024,115.5,6.2,2.379999999999999,1.4700000000000024,0.9799999999999986,1.2520000000000007,0.2629999999999999,20.46382695027752,17.964942296730992,16.42816234012767,15.901655260363524,14.035604500027937,12.936537818920728,12.55424888511849,12.311753586349154
27,2.6688,1.0039,11.0,,,20.71,19.99,,,0.16,0.12,,,,,16.526,16.227,0.085,0.237,47.0,-66.0,,,0.7200000000000024,,0.2989999999999995,,,20.307465749122997,19.919852125718137,,,16.536112263701515,16.258401450621363
28,2.8826,59.1444,6.5,14.94,,,,0.0,,,,9.945,9.093,0.023,0.021,8.87,8.651,0.023,0.019,-905.7,-1166.81,,,,0.8520000000000003,0.21899999999999942,,,,,9.83728364801581,9.130249479578799,8.880415866850345,8.680961752238677
29,3.343,-11.7168,23.0,,,20.43,18.69,,,0.06,0.01,16.349,15.69,0.095,0.216,15.495,14.317,0.047,0.055,214.0,-27.0,,,1.7399999999999984,0.6590000000000007,1.177999999999999,,,19.480967759987475,18.54846442317312,16.236786336919955,15.718907855846318,15.501776424103731,14.364220136601121
30,3.4767,6.58,28.0,,,,,,,,,,,,,18.228,15.228,,0.094,1170.0,-540.0,,,,,3.0000000000000018,,,,,,,18.2278618623891,15.308009267266785
31,3.4908,-22.589,14.0,,20.66,18.84,17.79,,0.02,0.03,0.02,15.775,14.036,0.065,0.051,13.318,13.036,0.025,0.029,67.6,-67.4,,1.8200000000000003,1.0500000000000007,1.7390000000000008,0.28200000000000003,,20.00363452323485,18.26065757616739,17.696756104306512,15.687952637352701,14.111586372069526,13.328176779370642,13.06709551471504
32,3.4953,-18.2797,11.0,,21.47,19.95,18.87,,0.03,0.05,0.01,16.537,15.04,0.139,0.131,14.549,14.138,0.03,0.045,-36.29,-171.79,,1.5199999999999996,1.0799999999999983,1.4969999999999999,0.4109999999999996,,20.969041186231543,19.3545841058987,18.77465646599637,16.44431352188536,15.105126926767658,14.558687219293152,14.171417028357123
33,3.5427,-7.1991,6.0,,,,,,,,,,12.19,,0.04,,,,,104.54,-67.91,,,,,,,,,,,,,
